lat,lon,polygon,GEOID
40.535456,-89.013791,22685,17113000104
40.593417,-105.0684,12562,08069001306
40.024578,-105.232194,12456,08013012203
40.0148,-105.2792,12457,08013012204
39.986545,-82.823727,51240,39049007395
39.960356,-82.998458,51325,39049004000
42.666735,-88.524261,72183,55127000902
42.909432,-87.928747,71412,55079160100
41.526802,-72.063684,13545,09011696400
28.565738,-81.389771,16524,12095012600
20.688309,-156.439752,20408,15009030303
40.534785,-89.011493,22685,17113000104
42.969202,-85.670457,33882,26081002000
42.963679,-85.670993,33882,26081002000
42.278754,-83.745565,34167,26161400100
42.962871,-85.668737,33882,26081002000
35.61323,-87.034614,61037,47119010500
41.742755,-71.428289,58428,44003021100
35.223874,-80.846273,48439,37119000100
35.837613,-86.407098,60986,47149041800
40.492883,-80.200182,56836,42003451300
40.505604,-105.078041,11726,08069001009
35.533862,-97.531053,54229,40109106503
43.199508,-72.820633,67264,50025967300
42.525121,-71.713346,31336,25027709501
42.5703,-71.41896,32152,25017318400
42.260546,-71.794678,32533,25027732500
39.290036,-76.621894,30670,24510040100
39.290764,-76.62439,29996,24510040200
39.28651,-76.624935,29996,24510040200
39.28808,-76.622679,29996,24510040200
42.244351,-83.444131,34386,26163587900
42.615654,-83.324374,34762,26125150100
42.335279,-83.057424,32893,26163520700
42.334668,-83.056126,32893,26163520700
42.334232,-83.0566,32893,26163520700
42.41423,-83.1364,34122,26163530200
44.825192,-93.112679,36127,27037060728
39.934849,-75.029991,41062,34007603301
30.563925,-97.658312,66037,48491021507
38.890342,-77.085782,68352,51013101802
38.85424,-77.049408,68949,51013103402
47.424222,-122.256619,70417,53033029206
47.443255,-122.212445,69696,53033025806
47.444606,-122.214491,69696,53033025806
43.054704,-89.321148,71294,55025002900
35.78214,-78.6864,47940,37183052409
44.763048,-85.585342,34207,26055551000
41.955233,-87.865268,21142,17031770800
35.49416,-79.180591,48767,37105030200
38.672391,-77.396964,69090,51153901233
27.901732,-82.721249,16318,12103024514
28.425298,-81.456277,16285,12095017001
28.249967,-81.28294,15591,12097043500
28.250888,-81.279774,15591,12097043500
39.326834,-76.681801,29710,24510151000
39.334156,-76.495725,30274,24005440900
45.183283,-93.237039,35339,27003050806
44.956138,-93.084209,36497,27123033000
34.004883,-81.032931,58799,45079003100
34.002107,-81.035726,58799,45079003100
34.035802,-118.686393,9374,06037800504
37.806099,-122.449461,9562,06075060100
27.988197,-82.392164,16312,12057012001
25.7752,-80.198072,14749,12086003601
41.742755,-71.428289,58428,44003021100
35.922223,-86.821182,60305,47187051001
35.940203,-86.813764,61155,47187050208
36.174597,-86.298021,60210,47189030800
35.843311,-86.446636,60948,47149040903
47.483635,-122.170748,69695,53033025601
47.474537,-122.204976,70698,53033025302
47.253809,-122.437429,69363,53053061601
47.245934,-122.43398,70130,53053060200
39.742113,-104.991416,12749,08031001702
41.769417,-72.681825,12960,09003524600
38.896703,-77.027621,13923,11001005800
34.275207,-83.85946,19065,13139001003
34.010005,-84.577162,18883,13067030229
42.358449,-71.055089,31505,25025030300
42.799163,-70.847133,32318,25009268400
42.032751,-71.311914,31271,25021440100
36.063557,-79.503697,49958,37001021703
36.063557,-79.503697,49958,37001021703
35.784037,-78.684667,47940,37183052409
26.892152,-80.102668,14834,12099000205
44.015999,-73.165412,67347,50001960700
37.488952,-121.948969,6883,06001441503
47.778229,-122.344838,70380,53061050900
47.9027298164056,-122.246988372491,69383,53061041905
47.031067,-122.930247,69476,53067010520
46.236607,-119.128998,70273,53021020400
47.207367,-122.294997,70517,53053940010
47.448354,-122.2188,69679,53033026200
47.606684,-122.332664,70540,53033008100
47.604906,-122.330278,70284,53033008500
47.582934,-122.323106,70722,53033009300
47.622085,-122.347124,69569,53033007200
